"group","nbr_spp_col","nbr_spp_mol","prop_tot","prop_acc","prop_acc_syn","prop_no_match"
"dragonflies","5912","6322","45.92","81.73","87.6","2.84"
"mammals","6025","6533","20.62","84.1","89.33","2.31"
"crabs","7625","11281","37.03","65.08","66.54","1.04"
"reptiles","11687","11570","25.95","99.69","99.79","1.1"
"ants","10198","16552","30.96","46.9","54.46","5.72"
"butterflies","18152","39859","13.54","24.68","35.07","15.52"
"birds","10521","10824","24.45","85.33","95.4","0.71"
"amphibians","8054","8340","34.22","89.98","95.26","0.73"
"daisies","35677","44726","10.58","0","86.65","11.58"
