"group","prop_tot","prop_acc","prop_acc_syn","prop_acc_syn_ass"
"dragonflies","46.26","90.53","91.05","65.91"
"mammals","20.21","84.62","89.02","77.36"
"crabs","0.01","0.02","0.02","0.02"
"reptiles","20.79","75.01","80.92","70.54"
"ants","0.52","0.69","0.94","0.94"
"butterflies","2.21","6.26","6.9","6.63"
"birds","21.19","90.96","97.16","96.75"
"amphibians","31.67","80.35","84.83","72.27"
"conifers","8.84","85.29","88.53","87.52"
"cacti","8.78","60.15","69.15","64.33"
"daisies","1.41","4.28","4.89","4.66"
"palms","10.04","29.98","31","28.4"
